Academic_Year,Institution_Type_EN,Institution_Type_AR,Campus_Zone_EN,Campus_Zone_AR,Coordinates,LocalFlag_EN,LocalFlag_AR,Gender_EN,Gender_AR,Bachelors,Certificate,Diploma,Doctorate,Foundations,Graduate Certificate,Graduate Diploma,Higher Diploma,Masters,Other أخرى , Total المجموع 
2012-2013,Federal,اتحادية ,Abu Dhabi,أبوظبي,"24.466667 , 54.366669",Local,مواطن,Female,انثى,"12,838",,274,47,"2,743",,6,12,700,,"16,620"
2012-2013,Federal,اتحادية ,Abu Dhabi,أبوظبي,"24.466667 , 54.366669",Local,مواطن,Male,ذكر,"4,294",,112,29,"1,362",,70,24,399,,"6,290"
2012-2013,Federal,اتحادية ,Abu Dhabi,أبوظبي,"24.466667 , 54.366669",Expat,غير مواطن,Female,انثى,"1,872",,,48,93,,,,132,,"2,145"
2012-2013,Federal,اتحادية ,Abu Dhabi,أبوظبي,"24.466667 , 54.366669",Expat,غير مواطن,Male,ذكر,"1,189",,,19,39,,,,152,,"1,399"
2012-2013,Federal,اتحادية ,Dubai,دبي ,"25.276987 , 55.296249",Local,مواطن,Female,انثى,"4,125",,54,,"1,820",,,2,52,,"6,053"
2012-2013,Federal,اتحادية ,Dubai,دبي ,"25.276987 , 55.296249",Local,مواطن,Male,ذكر,"1,947",,1,,638,,,27,33,,"2,646"
2012-2013,Federal,اتحادية ,Dubai,دبي ,"25.276987 , 55.296249",Expat,غير مواطن,Female,انثى,51,,,,33,,,,3,,87
2012-2013,Federal,اتحادية ,Dubai,دبي ,"25.276987 , 55.296249",Expat,غير مواطن,Male,ذكر,22,,,,8,,,,5,,35
2012-2013,Federal,اتحادية ,Fujairah,الفجيرة,"25.133300 , 56.250000",Local,مواطن,Female,انثى,697,,137,,667,,,,,,"1,501"
2012-2013,Federal,اتحادية ,Fujairah,الفجيرة,"25.133300 , 56.250000",Local,مواطن,Male,ذكر,146,,39,,103,,,,,,288
2012-2013,Federal,اتحادية ,Fujairah,الفجيرة,"25.133300 , 56.250000",Expat,غير مواطن,Female,انثى,,,,,1,,,,,,1
2012-2013,Federal,اتحادية ,Ras Al Khaimah,رأس الخيمة,"25.800694 , 55.976200",Local,مواطن,Female,انثى,627,,3,,573,,,,,,"1,203"
2012-2013,Federal,اتحادية ,Ras Al Khaimah,رأس الخيمة,"25.800694 , 55.976200",Local,مواطن,Male,ذكر,249,,,,177,,,,,,426
2012-2013,Federal,اتحادية ,Ras Al Khaimah,رأس الخيمة,"25.800694 , 55.976200",Expat,غير مواطن,Female,انثى,,,,,4,,,,,,4
2012-2013,Federal,اتحادية ,Ras Al Khaimah,رأس الخيمة,"25.800694 , 55.976200",Expat,غير مواطن,Male,ذكر,,,,,1,,,,,,1
2012-2013,Federal,اتحادية ,Sharjah,الشارقة,"25.322327 , 55.513641",Local,مواطن,Female,انثى,"1,472",,5,,702,,,1,,,"2,180"
2012-2013,Federal,اتحادية ,Sharjah,الشارقة,"25.322327 , 55.513641",Local,مواطن,Male,ذكر,448,,,,291,,,2,,,741
2012-2013,Federal,اتحادية ,Sharjah,الشارقة,"25.322327 , 55.513641",Expat,غير مواطن,Female,انثى,,,,,9,,,,,,9
2012-2013,Federal,اتحادية ,Sharjah,الشارقة,"25.322327 , 55.513641",Expat,غير مواطن,Male,ذكر,4,,,,18,,,,,,22
2012-2013,Non-Federal,غير اتحادية,Abu Dhabi,أبوظبي,"24.466667 , 54.366669",Local,مواطن,Female,انثى,"2,741",14,"1,147",1,358,,24,60,433,,"4,778"
2012-2013,Non-Federal,غير اتحادية,Abu Dhabi,أبوظبي,"24.466667 , 54.366669",Local,مواطن,Male,ذكر,"3,793",13,"1,692",,661,,4,275,432,,"6,870"
2012-2013,Non-Federal,غير اتحادية,Abu Dhabi,أبوظبي,"24.466667 , 54.366669",Expat,غير مواطن,Female,انثى,"2,951",,787,,90,,706,2,168,,"4,704"
2012-2013,Non-Federal,غير اتحادية,Abu Dhabi,أبوظبي,"24.466667 , 54.366669",Expat,غير مواطن,Male,ذكر,"2,856",,702,2,53,,62,1,339,,"4,015"
2012-2013,Non-Federal,غير اتحادية,Ajman,عجمان,"25.244000 , 55.266140",Local,مواطن,Female,انثى,"1,011",,,,13,,1,,51,,"1,076"
2012-2013,Non-Federal,غير اتحادية,Ajman,عجمان,"25.244000 , 55.266140",Local,مواطن,Male,ذكر,"1,014",,,,6,,,,116,,"1,136"
2012-2013,Non-Federal,غير اتحادية,Ajman,عجمان,"25.244000 , 55.266140",Expat,غير مواطن,Female,انثى,"3,186",,,,5,,108,,62,,"3,361"
2012-2013,Non-Federal,غير اتحادية,Ajman,عجمان,"25.244000 , 55.266140",Expat,غير مواطن,Male,ذكر,"2,934",,,,10,,6,,55,,"3,005"
2012-2013,Non-Federal,غير اتحادية,Dubai,دبي ,"25.276987 , 55.296249",Local,مواطن,Female,انثى,"2,074",1,78,74,27,,,5,686,,"2,945"
2012-2013,Non-Federal,غير اتحادية,Dubai,دبي ,"25.276987 , 55.296249",Local,مواطن,Male,ذكر,"6,778",,252,21,91,,,16,"1,162",2,"8,322"
